Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.55,10.2125,-90,bottom
C2,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1.56,10.1925,-90,bottom
C3,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,3.06,10.205,-90,bottom
C4,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,3,4.12,-90,bottom
C5,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,3.85,4.1175,-90,bottom
C6,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,8.8,4.2,90,bottom
C8,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,12.18,3.95,-90,bottom
C9,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,5.9375,5.54,180,bottom
C12,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10.05,4.74,180,bottom
C13,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,10.0475,3.95,180,bottom
C14,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,5.1275,4.6675,0,bottom
C15,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,11.36,3.7675,-90,bottom
C16,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,7.21,4.2,-90,bottom
C17,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,8,4.2,-90,bottom
C20,100nF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,5.1275,3.9175,0,bottom
C23,15pF,C_0603_1608Metric,2.585,14.25,0,bottom
R3,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,9.3225,14.96,180,bottom
R4,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,6.4075,14.97,180,bottom
R5,27,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,8.89,6.2475,90,bottom
R6,27,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,7.89,6.2475,90,bottom
R7,47k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,5.82,7.4375,-90,bottom
R8,47k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,6.82,7.31,-90,bottom
R9,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2.6275,12.62,0,bottom
U2,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,9.96,11.48,180,bottom
U3,TLV75533PDBV,SOT-23-5,2.7375,6.75,180,bottom
Y2,XYDBPCNANF-12MHZ,Crystal_SMD_2520-4Pin_2.5x2.0mm,12.605,6.85,180,bottom
